"Origin","OriginTerm","CoreTerm"
"icd10cm:H21561:official","pupillary abnormality, right eye","pupillary abnormality"
"icd10cm:H218:official","other specified disorders of iris and ciliary body","iris ciliary body specified disorders"
"icd10cm:H2182:official","plateau iris syndrome (post-iridectomy) (postprocedural)","plateau iridectomy postprocedural"
"icd10cm:H219:official","unspecified disorder of iris and ciliary body","iris ciliary body disorder"
"icd10cm:H22:official","disorders of iris and ciliary body in diseases classified elsewhere","iris ciliary body diseases classified elsewhere disorders"
"icd10cm:H25:official","age-related cataract","age related cataract"
"icd10cm:H250:official","age-related incipient cataract","age related incipient cataract"
"icd10cm:H2501:official","cortical age-related cataract","cortical age related cataract"
"icd10cm:H2503:official","anterior subcapsular polar age-related cataract","subcapsular polar cataract"
"icd10cm:H251:official","age-related nuclear cataract","age related nuclear cataract"
"icd10cm:H2581:official","combined forms of age-related cataract","age related cataract combined"
"icd10cm:H25811:official","combined forms of age-related cataract, right eye","age related cataract right eye combined"
"icd10cm:H25812:official","combined forms of age-related cataract, left eye","age related cataract left eye combined"
"icd10cm:H25813:official","combined forms of age-related cataract, bilateral","age related cataract bilateral combined"
"icd10cm:H25819:official","combined forms of age-related cataract, unspecified eye","age related cataract eye combined"
"icd10cm:H26:official","other cataract","cataract"
"icd10cm:H260:official","infantile and juvenile cataract","infantile juvenile cataract"
"icd10cm:H2601:official","infantile and juvenile cortical, lamellar, or zonular cataract","infantile juvenile cortical"
"icd10cm:H2603:official","infantile and juvenile nuclear cataract","infantile nuclear cataract"
"icd10cm:H2606:official","combined forms of infantile and juvenile cataract","infantile juvenile cataract combined"
"icd10cm:H26061:official","combined forms of infantile and juvenile cataract, right eye","infantile juvenile cataract right eye combined"
"icd10cm:H26062:official","combined forms of infantile and juvenile cataract, left eye","infantile juvenile cataract left eye combined"
"icd10cm:H26063:official","combined forms of infantile and juvenile cataract, bilateral","infantile juvenile cataract bilateral combined"
"icd10cm:H26069:official","combined forms of infantile and juvenile cataract, unspecified eye","infantile juvenile cataract eye combined"
"icd10cm:H2610:official","unspecified traumatic cataract","traumatic cataract"
"icd10cm:H26111:official","localized traumatic opacities, right eye","localized traumatic opacities"
"icd10cm:H26121:official","partially resolved traumatic cataract, right eye","partially resolved traumatic cataract"
"icd10cm:H26131:official","total traumatic cataract, right eye","total traumatic cataract"
"icd10cm:H2620:official","unspecified complicated cataract","complicated cataract"
"icd10cm:H2623:official","glaucomatous flecks (subcapsular)","glaucomatous flecks subcapsular"
"icd10cm:H263:official","drug-induced cataract","drug induced cataract"
"icd10cm:H26411:official","soemmering's ring, right eye","soemmering's ring"
"icd10cm:H268:official","other specified cataract","specified cataract"
"icd10cm:H27:official","other disorders of lens","lens disorders"
"icd10cm:H2700:official","aphakia, unspecified eye","aphakia"
"icd10cm:H271:official","dislocation of lens","lens dislocation"
"icd10cm:H2711:official","subluxation of lens","lens subluxation"
"icd10cm:H27111:official","subluxation of lens, right eye","lens right eye subluxation"
"icd10cm:H27112:official","subluxation of lens, left eye","lens left eye subluxation"
"icd10cm:H27113:official","subluxation of lens, bilateral","lens bilateral subluxation"
"icd10cm:H27119:official","subluxation of lens, unspecified eye","lens eye subluxation"
"icd10cm:H2712:official","anterior dislocation of lens","lens anterior dislocation"
"icd10cm:H27121:official","anterior dislocation of lens, right eye","lens right eye anterior dislocation"
"icd10cm:H27122:official","anterior dislocation of lens, left eye","lens left eye anterior dislocation"
"icd10cm:H27123:official","anterior dislocation of lens, bilateral","lens bilateral anterior dislocation"
"icd10cm:H27129:official","anterior dislocation of lens, unspecified eye","lens eye anterior dislocation"
"icd10cm:H2713:official","posterior dislocation of lens","lens posterior dislocation"
"icd10cm:H27131:official","posterior dislocation of lens, right eye","lens right eye posterior dislocation"
"icd10cm:H27132:official","posterior dislocation of lens, left eye","lens left eye posterior dislocation"
"icd10cm:H27133:official","posterior dislocation of lens, bilateral","lens bilateral posterior dislocation"
"icd10cm:H27139:official","posterior dislocation of lens, unspecified eye","lens eye posterior dislocation"
"icd10cm:H278:official","other specified disorders of lens","lens specified disorders"
"icd10cm:H279:official","unspecified disorder of lens","lens disorder"
"icd10cm:H28:official","cataract in diseases classified elsewhere","cataract diseases elsewhere"
"icd10cm:H3000:official","unspecified focal chorioretinal inflammation","focal chorioretinal inflammation"
"icd10cm:H3002:official","focal chorioretinal inflammation of posterior pole","posterior pole focal chorioretinal inflammation"
"icd10cm:H30021:official","focal chorioretinal inflammation of posterior pole, right eye","posterior pole right eye focal chorioretinal inflammation"
"icd10cm:H30022:official","focal chorioretinal inflammation of posterior pole, left eye","posterior pole left eye focal chorioretinal inflammation"
"icd10cm:H30023:official","focal chorioretinal inflammation of posterior pole, bilateral","posterior pole bilateral focal chorioretinal inflammation"
"icd10cm:H30029:official","focal chorioretinal inflammation of posterior pole, unspecified eye","posterior pole eye focal chorioretinal inflammation"
"icd10cm:H3010:official","unspecified disseminated chorioretinal inflammation","disseminated chorioretinal inflammation"
"icd10cm:H3011:official","disseminated chorioretinal inflammation of posterior pole","posterior pole disseminated chorioretinal inflammation"
"icd10cm:H30111:official","disseminated chorioretinal inflammation of posterior pole, right eye","posterior pole right eye disseminated chorioretinal inflammation"
"icd10cm:H30112:official","disseminated chorioretinal inflammation of posterior pole, left eye","posterior pole left eye disseminated chorioretinal inflammation"
