"Origin","OriginTerm","CoreTerm"
"icd10cm:S62631P:official+abbr","disp fx of dist phalanx of l idx fngr, 7thp","dist phalanx l idx fngr 7thp disp fx"
"icd10cm:S62631S:official","displaced fracture of distal phalanx of left index finger, sequela","distal phalanx left index finger sequela displaced fracture"
"icd10cm:S62631S:official+abbr","disp fx of distal phalanx of left index finger, sequela","distal phalanx left index finger sequela disp fx"
"icd10cm:S62632A:official","displaced fracture of distal phalanx of right middle finger, initial encounter for closed fracture","distal phalanx right middle finger initial encounter closed fracture displaced fracture"
"icd10cm:S62632A:official+abbr","disp fx of distal phalanx of right middle finger, init","distal phalanx right middle finger init disp fx"
"icd10cm:S62632B:official","displaced fracture of distal phalanx of right middle finger, initial encounter for open fracture","distal phalanx right middle finger initial encounter open fracture displaced fracture"
"icd10cm:S62632B:official+abbr","disp fx of distal phalanx of r mid finger, init for opn fx","distal phalanx r mid finger init opn fx disp fx"
"icd10cm:S62632D:official","displaced fracture of distal phalanx of right middle finger, subsequent encounter for fracture with routine healing","distal phalanx right middle finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62632D:official+abbr","disp fx of dist phalanx of r mid fngr, 7thd","dist phalanx r mid fngr 7thd disp fx"
"icd10cm:S62632G:official","displaced fracture of distal phalanx of right middle finger, subsequent encounter for fracture with delayed healing","distal phalanx right middle finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62632G:official+abbr","disp fx of dist phalanx of r mid fngr, 7thg","dist phalanx r mid fngr 7thg disp fx"
"icd10cm:S62632K:official","displaced fracture of distal phalanx of right middle finger, subsequent encounter for fracture with nonunion","distal phalanx right middle finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62632K:official+abbr","disp fx of dist phalanx of r mid fngr, 7thk","dist phalanx r mid fngr 7thk disp fx"
"icd10cm:S62632P:official","displaced fracture of distal phalanx of right middle finger, subsequent encounter for fracture with malunion","distal phalanx right middle finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62632P:official+abbr","disp fx of dist phalanx of r mid fngr, 7thp","dist phalanx r mid fngr 7thp disp fx"
"icd10cm:S62632S:official","displaced fracture of distal phalanx of right middle finger, sequela","distal phalanx right middle finger sequela displaced fracture"
"icd10cm:S62632S:official+abbr","disp fx of distal phalanx of right middle finger, sequela","distal phalanx right middle finger sequela disp fx"
"icd10cm:S62633A:official","displaced fracture of distal phalanx of left middle finger, initial encounter for closed fracture","distal phalanx left middle finger initial encounter closed fracture displaced fracture"
"icd10cm:S62633A:official+abbr","disp fx of distal phalanx of left middle finger, init","distal phalanx left middle finger init disp fx"
"icd10cm:S62633B:official","displaced fracture of distal phalanx of left middle finger, initial encounter for open fracture","distal phalanx left middle finger initial encounter open fracture displaced fracture"
"icd10cm:S62633B:official+abbr","disp fx of distal phalanx of l mid finger, init for opn fx","distal phalanx l mid finger init opn fx disp fx"
"icd10cm:S62633D:official","displaced fracture of distal phalanx of left middle finger, subsequent encounter for fracture with routine healing","distal phalanx left middle finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62633D:official+abbr","disp fx of dist phalanx of l mid fngr, 7thd","dist phalanx l mid fngr 7thd disp fx"
"icd10cm:S62633G:official","displaced fracture of distal phalanx of left middle finger, subsequent encounter for fracture with delayed healing","distal phalanx left middle finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62633G:official+abbr","disp fx of dist phalanx of l mid fngr, 7thg","dist phalanx l mid fngr 7thg disp fx"
"icd10cm:S62633K:official","displaced fracture of distal phalanx of left middle finger, subsequent encounter for fracture with nonunion","distal phalanx left middle finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62633K:official+abbr","disp fx of dist phalanx of l mid fngr, 7thk","dist phalanx l mid fngr 7thk disp fx"
"icd10cm:S62633P:official","displaced fracture of distal phalanx of left middle finger, subsequent encounter for fracture with malunion","distal phalanx left middle finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62633P:official+abbr","disp fx of dist phalanx of l mid fngr, 7thp","dist phalanx l mid fngr 7thp disp fx"
"icd10cm:S62633S:official","displaced fracture of distal phalanx of left middle finger, sequela","distal phalanx left middle finger sequela displaced fracture"
"icd10cm:S62633S:official+abbr","disp fx of distal phalanx of left middle finger, sequela","distal phalanx left middle finger sequela disp fx"
"icd10cm:S62634A:official","displaced fracture of distal phalanx of right ring finger, initial encounter for closed fracture","distal phalanx right ring finger initial encounter closed fracture displaced fracture"
"icd10cm:S62634A:official+abbr","disp fx of distal phalanx of right ring finger, init","distal phalanx right ring finger init disp fx"
"icd10cm:S62634B:official","displaced fracture of distal phalanx of right ring finger, initial encounter for open fracture","distal phalanx right ring finger initial encounter open fracture displaced fracture"
"icd10cm:S62634B:official+abbr","disp fx of distal phalanx of r rng fngr, init for opn fx","distal phalanx r rng fngr init opn fx disp fx"
"icd10cm:S62634D:official","displaced fracture of distal phalanx of right ring finger, subsequent encounter for fracture with routine healing","distal phalanx right ring finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62634D:official+abbr","disp fx of dist phalanx of r rng fngr, 7thd","dist phalanx r rng fngr 7thd disp fx"
"icd10cm:S62634G:official","displaced fracture of distal phalanx of right ring finger, subsequent encounter for fracture with delayed healing","distal phalanx right ring finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62634G:official+abbr","disp fx of dist phalanx of r rng fngr, 7thg","dist phalanx r rng fngr 7thg disp fx"
"icd10cm:S62634K:official","displaced fracture of distal phalanx of right ring finger, subsequent encounter for fracture with nonunion","distal phalanx right ring finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62634K:official+abbr","disp fx of dist phalanx of r rng fngr, 7thk","dist phalanx r rng fngr 7thk disp fx"
"icd10cm:S62634P:official","displaced fracture of distal phalanx of right ring finger, subsequent encounter for fracture with malunion","distal phalanx right ring finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62634P:official+abbr","disp fx of dist phalanx of r rng fngr, 7thp","dist phalanx r rng fngr 7thp disp fx"
"icd10cm:S62634S:official","displaced fracture of distal phalanx of right ring finger, sequela","distal phalanx right ring finger sequela displaced fracture"
"icd10cm:S62634S:official+abbr","disp fx of distal phalanx of right ring finger, sequela","distal phalanx right ring finger sequela disp fx"
"icd10cm:S62635A:official","displaced fracture of distal phalanx of left ring finger, initial encounter for closed fracture","distal phalanx left ring finger initial encounter closed fracture displaced fracture"
"icd10cm:S62635A:official+abbr","disp fx of distal phalanx of left ring finger, init","distal phalanx left ring finger init disp fx"
"icd10cm:S62635B:official","displaced fracture of distal phalanx of left ring finger, initial encounter for open fracture","distal phalanx left ring finger initial encounter open fracture displaced fracture"
"icd10cm:S62635B:official+abbr","disp fx of distal phalanx of l rng fngr, init for opn fx","distal phalanx l rng fngr init opn fx disp fx"
"icd10cm:S62635D:official","displaced fracture of distal phalanx of left ring finger, subsequent encounter for fracture with routine healing","distal phalanx left ring finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62635D:official+abbr","disp fx of dist phalanx of l rng fngr, 7thd","dist phalanx l rng fngr 7thd disp fx"
"icd10cm:S62635G:official","displaced fracture of distal phalanx of left ring finger, subsequent encounter for fracture with delayed healing","distal phalanx left ring finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62635G:official+abbr","disp fx of dist phalanx of l rng fngr, 7thg","dist phalanx l rng fngr 7thg disp fx"
"icd10cm:S62635K:official","displaced fracture of distal phalanx of left ring finger, subsequent encounter for fracture with nonunion","distal phalanx left ring finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62635K:official+abbr","disp fx of dist phalanx of l rng fngr, 7thk","dist phalanx l rng fngr 7thk disp fx"
"icd10cm:S62635P:official","displaced fracture of distal phalanx of left ring finger, subsequent encounter for fracture with malunion","distal phalanx left ring finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62635P:official+abbr","disp fx of dist phalanx of l rng fngr, 7thp","dist phalanx l rng fngr 7thp disp fx"
"icd10cm:S62635S:official","displaced fracture of distal phalanx of left ring finger, sequela","distal phalanx left ring finger sequela displaced fracture"
"icd10cm:S62635S:official+abbr","disp fx of distal phalanx of left ring finger, sequela","distal phalanx left ring finger sequela disp fx"
"icd10cm:S62636A:official","displaced fracture of distal phalanx of right little finger, initial encounter for closed fracture","distal phalanx right little finger initial encounter closed fracture displaced fracture"
"icd10cm:S62636A:official+abbr","disp fx of distal phalanx of right little finger, init","distal phalanx right little finger init disp fx"
"icd10cm:S62636B:official","displaced fracture of distal phalanx of right little finger, initial encounter for open fracture","distal phalanx right little finger initial encounter open fracture displaced fracture"
"icd10cm:S62636B:official+abbr","disp fx of dist phalanx of r little finger, init for opn fx","dist phalanx r little finger init opn fx disp fx"
"icd10cm:S62636D:official","displaced fracture of distal phalanx of right little finger, subsequent encounter for fracture with routine healing","distal phalanx right little finger subsequent encounter fracture routine healing displaced fracture"
"icd10cm:S62636D:official+abbr","disp fx of dist phalanx of r lit fngr, 7thd","dist phalanx r lit fngr 7thd disp fx"
"icd10cm:S62636G:official","displaced fracture of distal phalanx of right little finger, subsequent encounter for fracture with delayed healing","distal phalanx right little finger subsequent encounter fracture delayed healing displaced fracture"
"icd10cm:S62636G:official+abbr","disp fx of dist phalanx of r lit fngr, 7thg","dist phalanx r lit fngr 7thg disp fx"
"icd10cm:S62636K:official","displaced fracture of distal phalanx of right little finger, subsequent encounter for fracture with nonunion","distal phalanx right little finger subsequent encounter fracture nonunion displaced fracture"
"icd10cm:S62636K:official+abbr","disp fx of dist phalanx of r lit fngr, 7thk","dist phalanx r lit fngr 7thk disp fx"
"icd10cm:S62636P:official","displaced fracture of distal phalanx of right little finger, subsequent encounter for fracture with malunion","distal phalanx right little finger subsequent encounter fracture malunion displaced fracture"
"icd10cm:S62636P:official+abbr","disp fx of dist phalanx of r lit fngr, 7thp","dist phalanx r lit fngr 7thp disp fx"
"icd10cm:S62636S:official","displaced fracture of distal phalanx of right little finger, sequela","distal phalanx right little finger sequela displaced fracture"
"icd10cm:S62636S:official+abbr","disp fx of distal phalanx of right little finger, sequela","distal phalanx right little finger sequela disp fx"
"icd10cm:S62637A:official","displaced fracture of distal phalanx of left little finger, initial encounter for closed fracture","distal phalanx left little finger initial encounter closed fracture displaced fracture"
"icd10cm:S62637A:official+abbr","disp fx of distal phalanx of left little finger, init","distal phalanx left little finger init disp fx"
"icd10cm:S62637B:official","displaced fracture of distal phalanx of left little finger, initial encounter for open fracture","distal phalanx left little finger initial encounter open fracture displaced fracture"
